"Course","Description","Co-requisite"
"PSY3310","This course will provide a comprehensive overview of the forensic psychological research and the practice of forensic psychology. The student will become familiar with the forensic psychological literature, forensic psychological approaches and techniques in assessment and treatment, and many of the clinical/professional/ethical/legal issues surrounding the practice of forensic psychology.",""
"PSY3350","An introduction to the methods, rationale, and empirical foundations of the field of clinical psychology, including historical roots, conceptual models, professional issues, current controversies, and career options.",""
"PSY3400","Examines the physical, cognitive, emotional, and social development of individuals from birth to death. Theories and research evidence concerning factors such as heredity, early experience, parenting styles, peers, school, societal values, work, retirement, leisure, aging processes, death and bereavement will be assessed in the context of development through the lifespan.",""
"PSY3500","Covers the fundamentals of measurement theory and practice upon which all psychological testing rests. Major topics include: types of measurement, correlation, reliability, validity, test development, and norms. Major individual and group tests of intelligence, personality, aptitude, and interests are examined and evaluated in terms of these concepts.",""
"PSY3600","A study of the etiology, development, manifestations, and treatment of psychological disorders. Psychodynamic, behavioral, humanistic, systems, and cross-cultural theoretical perspectives are used to understand stress and anxiety-based disorders, psychoses, social and personality disorders, and organic and developmental disorders. Normality/abnormality are treated as concepts, as are legal and ethical issues related to deviant behavior.",""
"REL1000","This course offers a secular, interdisciplinary, and comparative approach to the world’s religious traditions. It is designed to foster an understanding of diversity and difference. The focus of the course is on origins. We begin with the oldest conceivably religious artifacts, proceed to some reconstructed oral traditions, and follow with the study of originating religious visions as established in scriptures from the West and the East.",""
"SOC1000","This course will give students an introduction into the academic study of society. We will study the interplay between personal traits and characteristics and large-scale factors that are outside of ourselves, such as the rules that govern society. People who are comfortable thinking about the interplay between self and society have a sociological imagination. By employing the sociological imagination, individuals are able to observe events and social structures that influence behavior, attitudes, and culture. This way of thinking can inform contemporary controversies within American society around inequality, social change, gender, race, and power.",""
"SPAN1100","An introduction to written and spoken Spanish. This is the first semester of a two-semester sequence.",""
"SPAN1200","An introduction to written and spoken Spanish. This is the second semester of a two-semester sequence.",""
"SPAN2100","Conversation, reading, grammar, and introduction to Spanish culture. This is the first semester of a two-semester sequence.",""
"SUST6000","Students will learn to think systematically through the study of the systemic structure and values underlying the modern world view. Alternative, emerging world views focused on sustainable structures will be emphasized. Systems thinking and a systems perspective will be developed through the study of environmental, cultural, and social systems. A critical perspective is emphasized throughout the course.",""
"SUST6001","Increasingly, citizens, civil society institutions, and international governmental organizations are playing crucial roles in environmental and natural resource management. This shift of power away from states, both “upward” to the international level and “downward” to citizens, begs several questions: What roles should the various actors play in these multi-level governance systems in order to ensure the most favorable, and most just, environmental and social outcomes? To what extent can they work together to achieve mutual, or at least mutually-compatible, goals? Is it necessary, even productive, for groups to maintain their own identities and distinct agendas, nurturing not a stifling consensus but a perpetual—yet respectful—debate? This seminar course will engage with these questions.",""
"SUST6005","Students will learn to conduct and evaluate environmental and social science research design, data quality, quality of reasoning, judgments in interpretation of evidence, and alternative interpretations of environmental and sustainability research. Emphasis will be placed on the design and generation of evidence acquired by interview, focus group, field research, and other approaches as used in environmental science and sustainability research. Small research teams will design and conduct a multi-faceted pilot study on some contested environmental or social issue related to sustainability using one or multiples of the following: survey research, action research, environmental impact assessments, environmental audits, case studies, in-depth interviews, focus groups, sustainability audits, organization environmental assessments, and campus sustainability audits.",""
"SUST6500","Ecological economics is a relatively new, trans-disciplinary field that studies the interdependency between the human economy and natural ecosystems. Its premise holds that the economy is a subset of the larger and finite ecosystem that sustains it, such that the unlimited economic growth desired in traditional neoclassical economics is physically impossible. This course will closely examine the emerging field of ecological economics, compare and contrast it with the neoclassical economic model, and relate the underlying principles to current environmental issues, all within the context of the goals of sustainable development.",""
"SUST6600","This colloquium series builds upon core sustainability competencies introduced in MAS UST courses. The seminars develop students' knowledge of emerging sustainability initiatives at the global and local levels, community engagement opportunities and cultural competencies in Hawaii, and opportunities for professional development.",""
"SWRK1010","This course serves as an introduction to the profession of social work through the lens of social sustainability and entrepreneurship. Socially-sustainable communities have systems, structures, and relationships that are equitable, diverse, connected, and democratic, providing quality of life to current and future generations. Social entrepreneurs are leaders seeking to find innovative solutions to social problems. Social work is one of many professions that function as social entrepreneurs in their work with systems of all sizes. Students demonstrate the characteristics of social entrepreneurship by developing innovative strategies to sustainably meet social problems.",""
"SWRK3000","An orientation to the principles and overview of the problem-solving process of generalist social work practice (intake, engagement, data collection, assessment, planning, contracting, intervention, evaluation, termination, and follow-up.)",""
"SWRK3003","This course will employ theories, models, and perspectives to understand individuals, families, and their interpersonal and group relationships, life span development, and well-being, stress, coping, and adaption. This course will emphasize knowledge about individuals and small social systems and the implications of this knowledge for all domains of social work practice. The knowledge presented will include the interrelationships between smaller and larger social systems and, in particular, how biological factors and the larger social and physical environments shape and influence individual and family well-being.",""
"SWRK3300","This course focuses attention on two essential skills of social work: (1) clear, correct, and professionally/legally-sound documentation and (2) integrating the results of social science research into professional practice/practice evaluation.",""
"SWRK3700","This is a special topics seminar providing students with the opportunity to participate in an in-depth exploration of current social problems impacting our society. Each semester the topic will change to focus on a contemporary social issue. Students will participate in class discussions, self-reflections, and oral presentations on contemporary social issues and debates. Course content will vary as set forth in the approved syllabus. Course may be repeatable as content changes.",""
"SWRK4000","A closer examination of the social work skills and methods with families and groups, including diverse/special populations.",""
"SWRK4010","A closer examination of the social work skills and methods with organizations and communities, with special attention to evaluation. This course also serves as a “capstone,” in which students return to the generalist model as a whole.",""
"THEA2320","A course that explores the theory and techniques of acting, with special focus on freeing the imagination and strengthening concentration and observation. This is done through theatre games and exercises, pantomimes, improvisation, short dialogue scenes, and monologues.",""
"THEA3520","Students build on acting and performance skills acquired in Theatre 2320: Acting I. Work includes monologues, scene work, improvisation, and techniques for character creation and development.",""
"THEA3620","Understanding and discovering theater from the director’s point of view and exploring the director’s approach of the written text, production concepts, casting, rehearsal process, and the entire creative environment that leads to performance. Practical application of the theories and techniques are done through students directing actors in scenes from plays. Repeatable for a total of 6 credits.",""
"WRI1051","This lab is a revising and editing workshop which is taken concurrently with WRI 1050. The lab provides additional instruction and practice in critical reading and writing skills and in editing techniques for students needing additional support in these areas of first-year writing courses. In this lab, while working one-on-one or in groups with tutors, students will examine their WRI 1050 assignments and readings, receive guidance through the writing process, review grammar and mechanics, and develop self-editing skills. The emphasis of this lab is to help students gain the confidence and skill needed for them to write well independently.","WRI 1050"
"WRI1100","WRI 1100 provides instruction and practice in college-level writing tasks, emphasizing the writing of arguments and the awareness that argument is the cornerstone of academic writing. Students will develop critical thinking skills and academic writing skills by reading, analyzing, and understanding complex texts. In order to learn how to write college-level arguments, students will refine their writing processes, develop their awareness of audience and rhetorical context, develop information literacy including the effective and proper use of source material, and expand their repertoires of rhetorical strategies and organizational techniques. Note: credit may not be earned for both WRI 1100 and WRI 1150",""
"WRI1101","A writing workshop lab to be taken concurrently with any WC&IL I course. Provides supplementary instruction and practice in critical reading and analysis and in research, writing, and editing techniques for students needing additional support in these areas of first-year writing courses.",""
"WRI1200","This course continues WRI 1100’s focus on argument as the cornerstone of academic writing, emphasizing organization, logical reasoning, and critical thinking. Students prepare a major argumentative research paper by locating and evaluating sources; summarizing, synthesizing, and incorporating them; and attributing ideas to their sources. Note: credit may not be earned for both WRI 1200 and WRI 1250.",""
"WRI1201","This lab is a revising and editing workshop which is taken concurrently with WRI 1200 or any Written Communication and Information Literacy II course. The lab provides additional instruction and practice in written language skills and editing techniques to help students succeed. While working one-on-one or in groups with tutors, students will examine their writing course assignments and readings, receive guidance through the writing and research process, review grammar and mechanics, and develop self-editing skills. The emphasis of this lab is to help students gain the confidence and skill needed for them to write well independently.",""
"WRI3330","A workshop designed to introduce the student of fiction to techniques and concepts such as characterization, plotting, point of view, theme, setting, and tone. The focus of the course is on writing the short story, although other fictional forms may be explored. Markets for fiction and preparing manuscripts for submission are also discussed. This course is conducted as a creative writing workshop.",""
"WRI3391","In this class, students serve as editors for Wanderlust, the student literary magazine of Hawai‘i Pacific University. In addition, students polish their own creative writing skills in order to produce publishable poetry, prose, or drama.",""
